Song,Votes
Gravity,470
Two Step,210
Aint It Fun,350
Funny Way It Is,195
Go Go Power Rangers,200
Neon,100
Dreamgirl,80
Cliffs of Dover,60
Hot For Teacher,95
Fast In My Car,20
Pull Me Under,40
Uptown Funk,120
Sugar,40
Waiting On World To Change,40
Heaven,90
Dreamgirl,40
Daughters,105
Vultures,20
Gaucho,20
Bold as Love,20
"Signed, Sealed, Delivered",25
Twist and Shout,30
Jimi Thing,25
Beat It,225
Ordinary Girl,150
Lie in Our Graves,200
Feeling Alright,100
Daydreaming,50
Soothsayer,100
Good Vibes,100
Highly Strung,50
Orion,100
Feel Right,20
A Place For My Head,70
Heaven,70
Out on the Streets,40
Put A Spell On You,40
Nothing Else Matters,80
#41,75
Now,100
Your Body Is A Wonderland,40
Let the Flames Begin,350
Future,150
Monster,375
Count Me In,50
Attention Span,75
Billie Jean,125
Thriller,50
Beat It,100
Play That Funky Music,25
Dont Wanna Miss A Thing,50
Mama Said Knock You Out,50
Grow Up,50
Anklebiters,75
Human Nature,150
Jordan,75
Coat of Charms,50
Up and Away,75
Celebration,25
Grey Street,15
Grey Street,5
Human Nature,5
"Always With Me, Always With You",50
Fever,50
Time Bomb,50
Welcome To The Jungle,50
Two Step,50
Aint It Fun,50
Paradise City,50
#41,50
Still Into You,50
Highly Strung,50
#41,50
Grow Up,50
See You Again,10
Grey Street,10
Battery,10
Cortez The Killer,100
Cornbread,100
Two Step,100
Aint It Fun,100
The Ballad,25
Out on the Streets,25
Out On The Streets,25
Gravity,25
Use Somebody,25
Use Somebody,25
Manhattan,25
Be Somebody,25
Gravity	,50
Your Body is a Wonderland,50
Whipping Post,50
Aint It Fun,50
gravity,2
gravity,1
travelin' shoes,1
travelin' shoes,1
gravity,1
aint it fun,1
Grow Up,1
Monster,1
Grow Up,1
Gravity,1
Grow Up,1
Out on the Streets,1
Bad,1
Bad,1
Thriller,1
Travelin' Shoes,1
Whipping Post,1
Hard to Handle,1
